unseen_ds,spc,model,nway,trained_ds,mean_diff,acc,dis_mean,norm_ratio_sum,norm_ratio_limits,domain,acc_std,bt_iter,sum_min_values
cifar100_SOTA_testSet,1,PrototypicalNetwork,5,TKH,54.782394,0.3129499990940094,273.28113,0.96139514,0.7002381495725775,OOD,0.0472273494048721,0,3596274.131252289
Greek,1,PrototypicalNetwork,5,TKH,480.4356,0.575449999332428,698.9343,0.71581584,0.5380425241387864,OOD,0.05974255266515445,0,6825575.931055069
miniImageNet_SOTA_testSet,1,PrototypicalNetwork,5,TKH,173.39876,0.29099999922513964,391.8975,0.9347779,0.6834335374742849,OOD,0.04823380662344159,0,4965044.353487015
b-59-850,5,PrototypicalNetwork,5,Greek,-91.05101,0.8291499991416931,41.87692,0.90034133,0.6899498839444633,OOD,0.04022937272240517,0,453552.18685245514
omniglot_SOTA_testSet,5,PrototypicalNetwork,5,Greek,-21.030785,0.9007499995231628,111.89715,1.0295073,0.7703614329177828,OOD,0.035285442289060207,0,1403865.637828827
Egyptian,5,PrototypicalNetwork,5,Greek,-89.84084,0.789850003004074,43.08709,0.9208435,0.6986121749147748,OOD,0.04370471897687006,0,488621.19450998306
TKH,5,PrototypicalNetwork,5,Greek,-74.09041,0.7945500004291535,58.83753,0.9289122,0.6948838896654868,OOD,0.0511338677120362,0,693456.1451911926
Greek,5,PrototypicalNetwork,5,Greek,0.0,0.8618999989032745,132.92793,0.84439814,0.6546269206000156,ID,0.04157391017247293,0,1325433.508049965
cifar100_SOTA_testSet,5,PrototypicalNetwork,5,Greek,-60.08187,0.41275000023841857,72.84606,0.84498996,0.628075525285278,OOD,0.04859848231366451,0,823306.3168592453
Greek,5,PrototypicalNetwork,5,Greek,-0.04800415,0.8586000015735626,132.87993,0.8429059,0.6535792108582277,OOD,0.038223554434431394,0,1321733.1571846008
miniImageNet_SOTA_testSet,5,PrototypicalNetwork,5,Greek,-52.353912,0.3463500004410744,80.57402,0.88552606,0.6518009337999053,OOD,0.04855205956517939,0,970395.2551908493
